tor,grupa,typ_grupy,liczba_probek,mu,sigma,ks_statistic,p_value,critical_value,is_lognormal
1,wszystkie,ogólne,7936,10.481825365385433,0.7325568337118619,0.04254007146426486,6.454217025194329e-13,0.015223972774753024,False
1,Członek rodziny - członek rodziny,relationship,3827,10.597332205035878,0.6778179013690726,0.037885949174899736,3.293017532985719e-05,0.021909417474820173,False
1,Inna znacząca - Inna znacząca,relationship,803,10.34800452408096,0.756875939089183,0.07881552335589537,8.72415800020431e-05,0.04771368810435614,False
1,Nieznajomy - Nieznajomy,relationship,346,10.463697730577463,0.695963540289973,0.04398652616392529,0.5009137060121638,0.07251225159088641,True
1,To skomplikowane,relationship,1287,10.293303789066663,0.7885875675677279,0.05620507216778209,0.0005642796454177292,0.0377246920831863,False
1,Znajomy - Znajomy,relationship,1673,10.430607726766809,0.7562760472979411,0.05392114367857492,0.00011434471775898852,0.03310220376171789,False
1,18-29,age,2233,10.389158173104521,0.7336302019680122,0.05521927468347848,2.3311008263019823e-06,0.028664328877821277,False
1,30-44,age,2555,10.522973528427457,0.7182185657150135,0.05281978440294727,1.232770725852922e-06,0.026801953379921088,False
1,45-59,age,947,10.525107836239531,0.7084011888569849,0.050166228804572,0.016433968824151914,0.04395237642655255,False
1,60+,age,765,10.408685743227744,0.7371669461689518,0.03917729728954977,0.18595800904613646,0.04887889509977224,True
1,< 18,age,5101,10.519493675868391,0.7469599491750865,0.04419024171226005,4.292691702008576e-09,0.018982366675354884,False
2,wszystkie,ogólne,8079,10.515609531894771,0.6231545503968285,0.022050800684188188,0.0007625679303089815,0.015088825408085914,False
2,Członek rodziny - członek rodziny,relationship,3910,10.609560819748088,0.6062700094432446,0.019333517792327115,0.10614313116587282,0.021676097814753215,True
2,Inna znacząca - Inna znacząca,relationship,768,10.389910407668967,0.5568182907553578,0.019986833466555165,0.9126848739247317,0.04878378159006499,True
2,Nieznajomy - Nieznajomy,relationship,343,10.48516887444486,0.6432075134436344,0.06478818038614675,0.10746924480467324,0.07282640125160651,True
2,To skomplikowane,relationship,1332,10.394847000098707,0.6314804290127856,0.03810572258813261,0.04071623705823735,0.037084228066961156,False
2,Znajomy - Znajomy,relationship,1726,10.457952654581112,0.6444208998990502,0.02686180064437671,0.16264404964176737,0.03259157820402339,True
2,18-29,age,2282,10.37864377264153,0.6162401113634655,0.035466794565855,0.006266244666552243,0.028355733467120774,False
2,30-44,age,2687,10.551511653782482,0.6095360918328556,0.029714359982049188,0.017040837398601592,0.026136960046096974,False
2,45-59,age,883,10.601580668929094,0.5782972674719887,0.021020007474791436,0.8220806248649878,0.04551056421765575,True
2,60+,age,936,10.401448823200834,0.6813910624101378,0.03303831017952624,0.25302519838997595,0.0442088049124571,True
2,< 18,age,5114,10.57448570123056,0.6206266161753693,0.020426035690288336,0.027652456308884688,0.018958266657082997,False
3,wszystkie,ogólne,8842,9.960188357881822,0.7710021065334084,0.04539156039267933,2.864633700400626e-16,0.014423995493442737,False
3,Członek rodziny - członek rodziny,relationship,3967,10.131331232735247,0.6983280310143325,0.036122740861909974,6.214335420043899e-05,0.021520119358638824,False
3,Inna znacząca - Inna znacząca,relationship,917,9.757785265206717,0.7944497334017161,0.04644337409907029,0.03707950700829732,0.04466251510792206,False
3,Nieznajomy - Nieznajomy,relationship,430,9.997529947271369,0.690674470188663,0.037556369303152204,0.5659727778045968,0.06509283927554745,True
3,To skomplikowane,relationship,1545,9.812093249362038,0.7827989071601441,0.05010428949192769,0.0008244821926833181,0.03444179036136745,False
3,Znajomy - Znajomy,relationship,1983,9.818700667849088,0.8290473761117338,0.05156962790168429,5.049664116770228e-05,0.030412596437166914,False
3,18-29,age,2422,9.804751777345752,0.7736201940394666,0.04601095395297994,6.798523378611561e-05,0.027526144932029966,False
3,30-44,age,2688,10.070196291420581,0.7043465166105178,0.04028777740828238,0.00031530673410062513,0.026132109656176638,False
3,45-59,age,1004,10.05946093225277,0.7396160385049901,0.06032142836612875,0.0012838822486166885,0.042691637600561876,False
3,60+,age,1170,9.816706399712217,0.7867570514097141,0.041486144320890705,0.0346423657897903,0.03955909735693354,False
3,< 18,age,5739,10.012917535092562,0.7734703725010935,0.04863526101753768,3.0911829128737938e-12,0.017897958449068337,False
4,wszystkie,ogólne,8451,10.104769289198309,0.7461539072189751,0.03000904133105564,4.795192545685619e-07,0.014753450564272163,False
4,Członek rodziny - członek rodziny,relationship,4022,10.221612820885236,0.717564303804197,0.02650548588529844,0.006899303063296802,0.02137276393081011,False
4,Inna znacząca - Inna znacząca,relationship,991,9.927499336190474,0.7299820387457445,0.04871726445479918,0.01751316285980849,0.04296960043921297,False
4,Nieznajomy - Nieznajomy,relationship,313,10.233713873117308,0.6958598360789197,0.04875414947520773,0.4327928021827453,0.07621099414299483,True
4,To skomplikowane,relationship,1324,9.94653669107819,0.7648968313568479,0.039907670171431917,0.028680997978205336,0.03719570318262829,False
4,Znajomy - Znajomy,relationship,1801,10.035291301486117,0.7623745680378324,0.04070925499710509,0.00496739929809256,0.03190780340757493,False
4,18-29,age,2537,9.991429182323547,0.7210927515050826,0.03838250952921818,0.0011034108784586918,0.02689662693313135,False
4,30-44,age,2678,10.18949556935135,0.723756979201474,0.02921595174417574,0.020271215950402207,0.02618073553702788,False
4,45-59,age,937,10.231507764858288,0.6946807391776212,0.030432943230013887,0.34373963902392435,0.044185307324470444,True
4,60+,age,974,9.947724480813244,0.8245852097031756,0.04142789937065294,0.06867766551860732,0.04334143005727252,True
4,< 18,age,5335,10.143027173294131,0.756103506903509,0.029871778169441865,0.00014347460715737452,0.018562125600772868,False
5,wszystkie,ogólne,7750,10.513404494917864,0.5654879582210772,0.02458208210361701,0.0001681668213920509,0.015405319757351339,False
5,Członek rodziny - członek rodziny,relationship,3861,10.579384133034276,0.5538474211766719,0.0312675516843442,0.0010297915140851943,0.021812932549101955,False
5,Inna znacząca - Inna znacząca,relationship,812,10.378242154079546,0.555330717108222,0.026991138694349215,0.5854741401431047,0.047449731458168845,True
5,Nieznajomy - Nieznajomy,relationship,333,10.495777360294193,0.5861545278991793,0.0378235347170065,0.712735151620737,0.0739038978220163,True
5,To skomplikowane,relationship,1125,10.455386659791529,0.5601892857152175,0.02155779862356938,0.6643078729620766,0.040339526399001555,True
5,Znajomy - Znajomy,relationship,1619,10.467786421008086,0.5760039740469166,0.028393906663667978,0.1441661548391311,0.03364798721812359,True
5,18-29,age,2233,10.397813188345937,0.5562508106840585,0.018525264249169837,0.42249739956398324,0.028664328877821277,True
5,30-44,age,2364,10.572266147317448,0.5509485838075996,0.027073137204911057,0.06138545002518925,0.0278608978972868,True
5,45-59,age,839,10.598048172739079,0.5197429113873947,0.02867470955591256,0.4864169579882176,0.046683428733718856,True
5,60+,age,860,10.447802988663645,0.5978233193756984,0.03546393542909987,0.22420782762303537,0.04611245967393417,True
5,< 18,age,5013,10.556170079689686,0.5653634699838375,0.03035668290712712,0.00019012648148059665,0.01914795976775894,False
6,wszystkie,ogólne,10165,9.249682681722817,0.8124084225355227,0.08736524126388368,5.913209487067362e-68,0.013453829243911475,False
6,Członek rodziny - członek rodziny,relationship,4541,9.41795692844853,0.8204261638622057,0.07969133339622347,1.5660597831844936e-25,0.020116693977215095,False
6,Inna znacząca - Inna znacząca,relationship,1251,9.057181599078843,0.749749224978769,0.07467561113100524,1.6350360399609921e-06,0.03826169348830937,False
6,Nieznajomy - Nieznajomy,relationship,564,9.038314787576535,0.7719147250622185,0.13220309640743672,4.681232394793006e-09,0.05688219584115229,False
6,To skomplikowane,relationship,1581,9.118718509974702,0.7518647008132182,0.099289093262875,5.086943987535398e-14,0.03404866996977909,False
6,Znajomy - Znajomy,relationship,2228,9.161240737305587,0.8135774028451541,0.10254563025679309,7.507405577361205e-21,0.028696388318854748,False
6,18-29,age,2872,9.206226627078797,0.7619263924592361,0.07390475914226347,4.353578464847607e-14,0.025283158729492956,False
6,30-44,age,2760,9.453429723022799,0.7962238410737682,0.07046645673805374,2.3148082004437017e-12,0.02578982855963326,False
6,45-59,age,1057,9.449919314466328,0.8207190561589679,0.06646298560802727,0.00016714122157626487,0.04161184006965898,False
6,60+,age,1424,8.974111560079079,0.7741222698004504,0.13308853774446755,1.8643809846019432e-22,0.03587040624036006,False
6,< 18,age,6677,9.26152836022584,0.8352443711842171,0.09485741859544039,9.68890212497172e-53,0.016595227194943246,False
7,wszystkie,ogólne,5048,10.710697802724358,0.6641951871049475,0.09137374150316713,3.979779187078876e-37,0.019081581030268656,False
7,Członek rodziny - członek rodziny,relationship,2553,10.795891705616297,0.5965265505902506,0.06672988065863328,2.5030064022919434e-10,0.026812423280385515,False
7,Inna znacząca - Inna znacząca,relationship,557,10.608404498771502,0.5991736272042435,0.0872693806947154,0.00038574213274332106,0.05723653625207337,False
7,Nieznajomy - Nieznajomy,relationship,201,10.54438650297259,0.8519178983657149,0.12676780304841678,0.0028285869956084712,0.09492326429763247,False
7,To skomplikowane,relationship,699,10.65707044662138,0.7221027875177163,0.11885010060574747,4.634251827388454e-09,0.05112338134011081,False
7,Znajomy - Znajomy,relationship,1038,10.624369700012126,0.7400532680542491,0.1276635523514374,3.3050946251673984e-15,0.04198944146944991,False
7,18-29,age,1600,10.613031492482452,0.6469189186565952,0.0961080185108728,2.5806712452812793e-13,0.03384654814201531,False
7,30-44,age,1621,10.783153252020844,0.557177857247073,0.06672273464827222,1.0188262027702298e-06,0.0336272889531067,False
7,45-59,age,638,10.71689341781106,0.6938665835058413,0.11200410176882131,1.9930441143243862e-07,0.05349929844311319,False
7,60+,age,501,10.61983979934802,0.8207914130296974,0.12130847895127961,6.978454281197614e-07,0.06033246262841869,False
7,< 18,age,3119,10.776049731799272,0.6503693891503393,0.08906808069374922,5.5822993952351565e-22,0.02426370820700302,False
